Timestamp,MovingAvg,TotalVolume,AvgProcessingDelay
2025-03-17 09:20:00,0.73,60377.5032,0.000000641
2025-03-17 09:21:00,0.73,609281.3640,0.000000356
2025-03-17 09:22:00,0.73,863190.6980,0.000000300
2025-03-17 09:23:00,0.73,1095863.4860,0.000000278
2025-03-17 09:24:00,0.73,1252087.9348,0.000000269
2025-03-17 09:25:00,0.73,1431221.9400,0.000000265
2025-03-17 09:26:00,0.73,1671967.9580,0.000000260
2025-03-17 09:27:00,0.73,1709643.1184,0.000000257
2025-03-17 09:28:00,0.73,1778423.3932,0.000000257
2025-03-17 09:29:00,0.73,1814401.3402,0.000000255
2025-03-17 09:30:00,0.73,1860897.9940,0.000000257
2025-03-17 09:31:00,0.73,2027919.5782,0.000000254
2025-03-17 09:32:00,0.73,2202481.4686,0.000000251
2025-03-17 09:33:00,0.73,2366968.2570,0.000000248
2025-03-17 09:34:00,0.73,2501738.2940,0.000000244
2025-03-17 09:35:00,0.73,2550941.4632,0.000000233
2025-03-17 09:36:00,0.73,2666191.6942,0.000000232
2025-03-17 09:37:00,0.73,2504763.9594,0.000000230
2025-03-17 09:38:00,0.73,2739017.5332,0.000000230
2025-03-17 09:39:00,0.73,2687835.1830,0.000000229
2025-03-17 09:40:00,0.73,2817302.0762,0.000000228
2025-03-17 09:41:00,0.73,2734098.3852,0.000000227
2025-03-17 09:42:00,0.73,2758617.4770,0.000000226
2025-03-17 09:43:00,0.73,2872392.9810,0.000000223
2025-03-17 09:44:00,0.73,2851755.7046,0.000000222
2025-03-17 09:45:00,0.73,2867770.8048,0.000000219
2025-03-17 09:46:00,0.73,2789848.5406,0.000000219
2025-03-17 09:47:00,0.72,2680036.2054,0.000000219
2025-03-17 09:48:00,0.72,2766248.4768,0.000000219
2025-03-17 09:49:00,0.72,2749946.3370,0.000000221
2025-03-17 09:50:00,0.72,3320155.8340,0.000000221
2025-03-17 09:51:00,0.72,2789580.5284,0.000000221
2025-03-17 09:52:00,0.72,2762884.5448,0.000000223
2025-03-17 09:53:00,0.72,2339909.4312,0.000000223
2025-03-17 09:54:00,0.72,2305434.3982,0.000000226
2025-03-17 09:55:00,0.72,2180488.8752,0.000000224
2025-03-17 09:56:00,0.72,2190683.7922,0.000000222
2025-03-17 09:57:00,0.72,2242203.1532,0.000000222
2025-03-17 09:58:00,0.72,2090906.1356,0.000000223
2025-03-17 09:59:00,0.72,2119152.6552,0.000000223
2025-03-17 10:00:00,0.72,2101517.0492,0.000000222
2025-03-17 10:01:00,0.72,2113338.6228,0.000000223
2025-03-17 10:02:00,0.72,2168057.5786,0.000000222
2025-03-17 10:03:00,0.72,1951072.2216,0.000000222
2025-03-17 10:04:00,0.72,2073421.5786,0.000000222
2025-03-17 10:05:00,0.72,1555321.9138,0.000000225
2025-03-17 10:06:00,0.72,1638197.7814,0.000000225
2025-03-17 10:07:00,0.72,1771510.4308,0.000000224
2025-03-17 10:08:00,0.72,1788821.2622,0.000000223
2025-03-17 10:09:00,0.72,1869809.6856,0.000000222
2025-03-17 10:10:00,0.72,1753118.0826,0.000000228
2025-03-17 10:11:00,0.72,1703267.8406,0.000000227
2025-03-17 10:12:00,0.72,1707277.9142,0.000000226
2025-03-17 10:13:00,0.72,1795452.6958,0.000000226
2025-03-17 10:14:00,0.72,1819460.2154,0.000000224
2025-03-17 10:15:00,0.72,1838406.0880,0.000000226
2025-03-17 10:16:00,0.72,1833661.8259,0.000000226
2025-03-17 10:17:00,0.72,1768300.5830,0.000000227
2025-03-17 10:18:00,0.72,1964948.4722,0.000000230
2025-03-17 10:19:00,0.72,1737713.0304,0.000000229
2025-03-17 10:20:00,0.72,1674886.4380,0.000000228
2025-03-17 10:21:00,0.72,1505083.7488,0.000000227
2025-03-17 10:22:00,0.72,1400114.9308,0.000000229
2025-03-17 10:23:00,0.72,1451736.0840,0.000000228
2025-03-17 10:24:00,0.72,1528432.3504,0.000000226
2025-03-17 10:25:00,0.72,1537078.4630,0.000000223
2025-03-17 10:26:00,0.72,1693441.2860,0.000000227
2025-03-17 10:27:00,0.72,1662169.2270,0.000000228
2025-03-17 10:28:00,0.72,1637555.9288,0.000000228
2025-03-17 10:29:00,0.72,1652706.9120,0.000000229
2025-03-17 10:30:00,0.72,1721677.8664,0.000000228
2025-03-17 10:31:00,0.72,1751772.9631,0.000000228
2025-03-17 10:32:00,0.72,1773426.7112,0.000000225
2025-03-17 10:33:00,0.72,1677645.3626,0.000000221
2025-03-17 10:34:00,0.72,1769278.1988,0.000000222
2025-03-17 10:35:00,0.72,1710160.0014,0.000000221
2025-03-17 10:36:00,0.72,1858081.8326,0.000000221
2025-03-17 10:37:00,0.72,1903415.1354,0.000000219
2025-03-17 10:38:00,0.72,1918928.7126,0.000000219
2025-03-17 10:39:00,0.72,1816164.1592,0.000000218
2025-03-17 10:40:00,0.72,2160746.7826,0.000000219
2025-03-17 10:41:00,0.72,1965505.5232,0.000000217
2025-03-17 10:42:00,0.72,1962049.8246,0.000000219
2025-03-17 10:43:00,0.72,2059472.6812,0.000000219
2025-03-17 10:44:00,0.72,2086913.4416,0.000000218
2025-03-17 10:45:00,0.72,1980528.3444,0.000000218
2025-03-17 10:46:00,0.72,2039624.4600,0.000000217
2025-03-17 10:47:00,0.72,2108077.0344,0.000000219
2025-03-17 10:48:00,0.72,2202019.9248,0.000000218
2025-03-17 10:49:00,0.72,2382742.0708,0.000000218
2025-03-17 10:50:00,0.72,2411265.6796,0.000000219
2025-03-17 10:51:00,0.72,2627623.2476,0.000000219
