Timestamp,MovingAvg,TotalVolume,AvgProcessingDelay
2025-03-17 09:20:00,128.89,153.9623,0.000000689
2025-03-17 09:21:00,128.95,309.5563,0.000000432
2025-03-17 09:22:00,129.01,1056.6153,0.000000373
2025-03-17 09:23:00,129.07,1838.1049,0.000000349
2025-03-17 09:24:00,129.10,2319.5090,0.000000338
2025-03-17 09:25:00,129.11,2748.9337,0.000000334
2025-03-17 09:26:00,129.12,3142.7772,0.000000325
2025-03-17 09:27:00,129.15,4328.4528,0.000000319
2025-03-17 09:28:00,129.17,4974.6110,0.000000316
2025-03-17 09:29:00,129.18,5804.1918,0.000000312
2025-03-17 09:30:00,129.17,6336.2882,0.000000313
2025-03-17 09:31:00,129.15,7000.6274,0.000000308
2025-03-17 09:32:00,129.13,7579.6719,0.000000308
2025-03-17 09:33:00,129.11,8316.9289,0.000000305
2025-03-17 09:34:00,129.10,8833.0942,0.000000302
2025-03-17 09:35:00,129.10,9050.4325,0.000000290
2025-03-17 09:36:00,129.11,9376.7269,0.000000286
2025-03-17 09:37:00,129.09,10423.2536,0.000000284
2025-03-17 09:38:00,129.08,10078.9352,0.000000281
2025-03-17 09:39:00,129.06,9841.7556,0.000000279
2025-03-17 09:40:00,129.05,10829.5454,0.000000277
2025-03-17 09:41:00,129.02,10952.9064,0.000000277
2025-03-17 09:42:00,128.99,10243.3523,0.000000276
2025-03-17 09:43:00,128.96,9836.9481,0.000000273
2025-03-17 09:44:00,128.93,9351.4742,0.000000273
2025-03-17 09:45:00,128.91,9144.4408,0.000000270
2025-03-17 09:46:00,128.90,8860.2455,0.000000272
2025-03-17 09:47:00,128.89,8796.3620,0.000000269
2025-03-17 09:48:00,128.88,8440.4483,0.000000269
2025-03-17 09:49:00,128.87,8425.8008,0.000000269
2025-03-17 09:50:00,128.87,8444.7937,0.000000269
2025-03-17 09:51:00,128.87,8293.2308,0.000000270
2025-03-17 09:52:00,128.87,6682.6559,0.000000273
2025-03-17 09:53:00,128.86,6588.2988,0.000000274
2025-03-17 09:54:00,128.85,7096.0559,0.000000278
2025-03-17 09:55:00,128.86,6032.0346,0.000000276
2025-03-17 09:56:00,128.87,6005.1218,0.000000273
2025-03-17 09:57:00,128.89,8064.8991,0.000000272
2025-03-17 09:58:00,128.90,8635.4271,0.000000274
2025-03-17 09:59:00,128.91,8781.7508,0.000000273
2025-03-17 10:00:00,128.92,10120.9242,0.000000273
2025-03-17 10:01:00,128.94,10051.3056,0.000000274
2025-03-17 10:02:00,128.96,9995.2581,0.000000274
2025-03-17 10:03:00,128.97,9942.1857,0.000000274
2025-03-17 10:04:00,128.98,9801.6618,0.000000275
