Timestamp,MovingAvg,TotalVolume,AvgProcessingDelay
2025-03-17 09:20:00,1904.80,20.2417,0.000000610
2025-03-17 09:21:00,1905.59,64.0897,0.000000343
2025-03-17 09:22:00,1906.35,175.2528,0.000000295
2025-03-17 09:23:00,1906.91,217.1901,0.000000278
2025-03-17 09:24:00,1907.01,316.5799,0.000000272
2025-03-17 09:25:00,1906.94,399.3380,0.000000269
2025-03-17 09:26:00,1906.84,551.8420,0.000000263
2025-03-17 09:27:00,1906.82,596.2820,0.000000259
2025-03-17 09:28:00,1906.87,733.6350,0.000000257
2025-03-17 09:29:00,1906.85,897.4906,0.000000254
2025-03-17 09:30:00,1906.73,961.2151,0.000000252
2025-03-17 09:31:00,1906.67,1126.8098,0.000000249
2025-03-17 09:32:00,1906.55,1270.2163,0.000000248
2025-03-17 09:33:00,1906.47,1683.2892,0.000000245
2025-03-17 09:34:00,1906.43,1761.2323,0.000000241
2025-03-17 09:35:00,1906.50,1779.1548,0.000000229
2025-03-17 09:36:00,1906.51,1798.9789,0.000000225
2025-03-17 09:37:00,1906.37,1731.6328,0.000000224
2025-03-17 09:38:00,1906.17,1934.8955,0.000000222
2025-03-17 09:39:00,1906.05,1885.4149,0.000000219
2025-03-17 09:40:00,1906.00,1926.0513,0.000000218
2025-03-17 09:41:00,1905.97,1838.0113,0.000000217
2025-03-17 09:42:00,1905.88,1904.5736,0.000000216
2025-03-17 09:43:00,1905.75,1817.4615,0.000000213
2025-03-17 09:44:00,1905.69,1679.3022,0.000000212
2025-03-17 09:45:00,1905.67,1642.3208,0.000000211
2025-03-17 09:46:00,1905.63,1553.6224,0.000000211
2025-03-17 09:47:00,1905.60,1449.3597,0.000000210
2025-03-17 09:48:00,1905.56,1132.5652,0.000000211
2025-03-17 09:49:00,1905.62,1196.4458,0.000000213
2025-03-17 09:50:00,1905.80,1314.3047,0.000000213
2025-03-17 09:51:00,1906.01,1285.2991,0.000000215
2025-03-17 09:52:00,1906.17,1278.9164,0.000000217
2025-03-17 09:53:00,1906.28,1092.5960,0.000000216
2025-03-17 09:54:00,1906.40,1178.4184,0.000000218
2025-03-17 09:55:00,1906.69,1167.9248,0.000000213
2025-03-17 09:56:00,1907.10,1155.3864,0.000000211
2025-03-17 09:57:00,1907.53,1134.2181,0.000000211
2025-03-17 09:58:00,1907.80,1124.3251,0.000000212
2025-03-17 09:59:00,1908.09,1210.1041,0.000000212
2025-03-17 10:00:00,1908.48,1470.5246,0.000000212
2025-03-17 10:01:00,1909.10,1591.3214,0.000000212
2025-03-17 10:02:00,1909.62,1656.9051,0.000000212
2025-03-17 10:03:00,1910.05,1735.7019,0.000000211
2025-03-17 10:04:00,1910.30,1707.4715,0.000000212
2025-03-17 10:05:00,1910.42,1626.2793,0.000000214
2025-03-17 10:06:00,1910.51,1693.2718,0.000000214
2025-03-17 10:07:00,1910.64,1749.4734,0.000000213
2025-03-17 10:08:00,1910.86,1802.9402,0.000000214
2025-03-17 10:09:00,1911.02,1809.8907,0.000000214
2025-03-17 10:10:00,1911.06,1856.0943,0.000000218
2025-03-17 10:11:00,1910.87,1912.9392,0.000000218
2025-03-17 10:12:00,1910.68,1910.2382,0.000000218
2025-03-17 10:13:00,1910.63,1960.5684,0.000000217
2025-03-17 10:14:00,1910.59,2003.9659,0.000000222
2025-03-17 10:15:00,1910.37,1997.5687,0.000000223
2025-03-17 10:16:00,1909.99,1856.0289,0.000000229
2025-03-17 10:17:00,1909.72,1816.2465,0.000000230
2025-03-17 10:18:00,1909.66,1789.9648,0.000000233
2025-03-17 10:19:00,1909.59,1756.8893,0.000000232
2025-03-17 10:20:00,1909.54,1935.2137,0.000000231
2025-03-17 10:21:00,1909.59,1926.4262,0.000000231
2025-03-17 10:22:00,1909.86,1934.9432,0.000000231
2025-03-17 10:23:00,1910.14,1981.5487,0.000000233
2025-03-17 10:24:00,1910.58,1927.5111,0.000000231
2025-03-17 10:25:00,1910.97,2102.2470,0.000000230
2025-03-17 10:26:00,1911.30,2055.5238,0.000000233
2025-03-17 10:27:00,1911.60,2133.7641,0.000000234
2025-03-17 10:28:00,1911.87,2109.7537,0.000000234
2025-03-17 10:29:00,1912.03,2016.0396,0.000000228
2025-03-17 10:30:00,1912.30,1812.4041,0.000000228
2025-03-17 10:31:00,1912.55,1783.9003,0.000000220
2025-03-17 10:32:00,1912.71,1881.4078,0.000000219
2025-03-17 10:33:00,1912.76,1784.8326,0.000000215
2025-03-17 10:34:00,1912.82,1780.3091,0.000000216
2025-03-17 10:35:00,1912.85,1642.7431,0.000000214
2025-03-17 10:36:00,1912.83,1643.1268,0.000000213
2025-03-17 10:37:00,1912.65,1619.8591,0.000000212
2025-03-17 10:38:00,1912.38,1614.3715,0.000000210
2025-03-17 10:39:00,1911.94,1630.5630,0.000000209
2025-03-17 10:40:00,1911.62,1576.7454,0.000000210
2025-03-17 10:41:00,1911.52,1602.9306,0.000000208
2025-03-17 10:42:00,1911.52,1585.0913,0.000000212
2025-03-17 10:43:00,1911.63,1696.4365,0.000000212
2025-03-17 10:44:00,1911.73,1749.3947,0.000000211
2025-03-17 10:45:00,1911.91,1730.9725,0.000000212
2025-03-17 10:46:00,1912.22,1940.4948,0.000000211
2025-03-17 10:47:00,1912.46,1826.3208,0.000000212
2025-03-17 10:48:00,1912.80,1886.6831,0.000000212
2025-03-17 10:49:00,1913.07,1952.4664,0.000000212
2025-03-17 10:50:00,1913.26,1937.0121,0.000000213
2025-03-17 10:51:00,1913.43,1975.2823,0.000000212
