Timestamp,MovingAvg,TotalVolume,AvgProcessingDelay
2025-03-17 09:20:00,638.69,55.4887,0.000000560
2025-03-17 09:21:00,639.34,256.2945,0.000000385
2025-03-17 09:22:00,640.10,407.7013,0.000000343
2025-03-17 09:23:00,640.16,658.8181,0.000000332
2025-03-17 09:24:00,640.13,923.0645,0.000000329
2025-03-17 09:25:00,640.11,1114.7792,0.000000328
2025-03-17 09:26:00,640.22,1305.9371,0.000000325
2025-03-17 09:27:00,640.38,1554.1668,0.000000323
2025-03-17 09:28:00,640.73,1795.8574,0.000000320
2025-03-17 09:29:00,640.98,2146.2206,0.000000317
2025-03-17 09:30:00,641.17,2273.6516,0.000000314
2025-03-17 09:31:00,641.34,2474.7702,0.000000312
2025-03-17 09:32:00,641.44,2595.1037,0.000000313
2025-03-17 09:33:00,641.53,2822.5878,0.000000312
2025-03-17 09:34:00,641.60,3108.4972,0.000000310
2025-03-17 09:35:00,641.74,3166.3676,0.000000302
2025-03-17 09:36:00,641.94,3056.0668,0.000000300
2025-03-17 09:37:00,641.97,3097.3948,0.000000298
2025-03-17 09:38:00,642.06,3101.4241,0.000000296
2025-03-17 09:39:00,642.20,3002.3315,0.000000293
2025-03-17 09:40:00,642.34,3572.1313,0.000000290
2025-03-17 09:41:00,642.42,3543.3787,0.000000288
2025-03-17 09:42:00,642.44,3447.2175,0.000000287
2025-03-17 09:43:00,642.28,3406.0216,0.000000285
2025-03-17 09:44:00,642.09,3207.2050,0.000000284
2025-03-17 09:45:00,641.87,3201.6369,0.000000284
2025-03-17 09:46:00,641.63,3089.1301,0.000000284
2025-03-17 09:47:00,641.37,3655.1015,0.000000281
2025-03-17 09:48:00,641.14,3636.3350,0.000000282
2025-03-17 09:49:00,640.92,3650.3986,0.000000282
2025-03-17 09:50:00,640.68,3723.3567,0.000000281
2025-03-17 09:51:00,640.48,3781.9103,0.000000285
2025-03-17 09:52:00,640.32,3698.0125,0.000000289
2025-03-17 09:53:00,640.07,3606.2278,0.000000289
2025-03-17 09:54:00,639.62,3622.9594,0.000000295
2025-03-17 09:55:00,639.29,3082.8611,0.000000294
2025-03-17 09:56:00,638.96,3147.1013,0.000000294
2025-03-17 09:57:00,638.69,3510.3507,0.000000293
2025-03-17 09:58:00,638.38,3520.4056,0.000000295
2025-03-17 09:59:00,638.13,3507.4289,0.000000296
2025-03-17 10:00:00,637.95,3525.1768,0.000000296
2025-03-17 10:01:00,637.84,3501.2503,0.000000297
2025-03-17 10:02:00,637.70,3390.4184,0.000000297
2025-03-17 10:03:00,637.49,3308.4528,0.000000297
2025-03-17 10:04:00,637.32,3175.3094,0.000000299
2025-03-17 10:05:00,637.14,3241.9241,0.000000303
2025-03-17 10:06:00,637.02,3234.4893,0.000000302
2025-03-17 10:07:00,636.86,3374.4774,0.000000299
2025-03-17 10:08:00,636.66,3524.8905,0.000000301
2025-03-17 10:09:00,636.58,3549.1908,0.000000299
2025-03-17 10:10:00,636.44,3507.5028,0.000000304
2025-03-17 10:11:00,636.22,3442.3650,0.000000303
2025-03-17 10:12:00,636.01,3067.9288,0.000000302
2025-03-17 10:13:00,635.90,3000.8237,0.000000301
2025-03-17 10:14:00,635.74,2987.6707,0.000000298
2025-03-17 10:15:00,635.51,3037.2096,0.000000299
2025-03-17 10:16:00,635.24,3604.5797,0.000000299
2025-03-17 10:17:00,635.02,3234.4518,0.000000300
2025-03-17 10:18:00,634.93,3204.5127,0.000000306
2025-03-17 10:19:00,634.79,3100.4928,0.000000302
2025-03-17 10:20:00,634.66,3012.2711,0.000000299
2025-03-17 10:21:00,634.68,3111.3872,0.000000297
2025-03-17 10:22:00,634.73,3146.6027,0.000000297
2025-03-17 10:23:00,634.74,2962.6825,0.000000297
2025-03-17 10:24:00,634.80,2872.1239,0.000000294
2025-03-17 10:25:00,634.85,2777.5109,0.000000291
2025-03-17 10:26:00,634.93,2707.5011,0.000000295
2025-03-17 10:27:00,635.00,2664.1122,0.000000297
2025-03-17 10:28:00,635.07,2690.0725,0.000000297
2025-03-17 10:29:00,635.15,2671.1649,0.000000299
2025-03-17 10:30:00,635.25,2582.2750,0.000000299
2025-03-17 10:31:00,635.35,2081.7247,0.000000298
2025-03-17 10:32:00,635.44,2017.9036,0.000000296
2025-03-17 10:33:00,635.47,1946.7220,0.000000289
2025-03-17 10:34:00,635.56,1941.9899,0.000000289
2025-03-17 10:35:00,635.60,1924.4493,0.000000288
2025-03-17 10:36:00,635.51,1829.5129,0.000000287
2025-03-17 10:37:00,635.39,1624.7880,0.000000285
2025-03-17 10:38:00,635.33,1522.5568,0.000000284
2025-03-17 10:39:00,635.31,1647.1201,0.000000284
2025-03-17 10:40:00,635.33,1579.7564,0.000000285
2025-03-17 10:41:00,635.34,1678.8848,0.000000282
2025-03-17 10:42:00,635.37,1618.0991,0.000000286
2025-03-17 10:43:00,635.44,1595.3584,0.000000286
2025-03-17 10:44:00,635.53,1687.1237,0.000000284
2025-03-17 10:45:00,635.60,1682.8220,0.000000284
2025-03-17 10:46:00,635.74,1698.7813,0.000000282
2025-03-17 10:47:00,635.93,1642.5180,0.000000283
2025-03-17 10:48:00,636.26,1828.2519,0.000000282
2025-03-17 10:49:00,636.64,1912.3225,0.000000284
2025-03-17 10:50:00,636.90,2050.3462,0.000000284
2025-03-17 10:51:00,637.11,2078.2334,0.000000284
2025-03-17 10:52:00,637.41,2160.9374,0.000000289
2025-03-17 10:53:00,637.67,2300.0141,0.000000288
2025-03-17 10:54:00,637.85,2158.5230,0.000000286
