Timestamp,MovingAvg,TotalVolume,AvgProcessingDelay
2025-03-17 09:20:00,0.17,443284.0464,0.000000603
2025-03-17 09:21:00,0.17,1122343.2167,0.000000362
2025-03-17 09:22:00,0.17,1971292.4853,0.000000318
2025-03-17 09:23:00,0.17,2453677.2861,0.000000299
2025-03-17 09:24:00,0.17,2833506.7295,0.000000290
2025-03-17 09:25:00,0.17,3013172.3277,0.000000284
2025-03-17 09:26:00,0.17,4061407.9751,0.000000279
2025-03-17 09:27:00,0.17,4491792.2705,0.000000281
2025-03-17 09:28:00,0.17,5162052.0088,0.000000278
2025-03-17 09:29:00,0.17,5747895.9561,0.000000275
2025-03-17 09:30:00,0.17,6642423.5704,0.000000274
2025-03-17 09:31:00,0.17,7678114.5084,0.000000271
2025-03-17 09:32:00,0.17,8119292.7041,0.000000270
2025-03-17 09:33:00,0.17,9636005.9346,0.000000267
2025-03-17 09:34:00,0.17,9891025.1428,0.000000265
2025-03-17 09:35:00,0.17,9697250.6886,0.000000255
2025-03-17 09:36:00,0.17,9409894.3827,0.000000254
2025-03-17 09:37:00,0.17,9274018.4342,0.000000251
2025-03-17 09:38:00,0.17,9204924.9494,0.000000250
2025-03-17 09:39:00,0.17,9399408.9501,0.000000249
2025-03-17 09:40:00,0.17,9517472.1427,0.000000248
2025-03-17 09:41:00,0.17,8747881.0216,0.000000248
2025-03-17 09:42:00,0.17,8560253.8616,0.000000244
2025-03-17 09:43:00,0.17,8771218.4076,0.000000441
2025-03-17 09:44:00,0.17,8399042.9772,0.000000444
2025-03-17 09:45:00,0.17,7833268.9243,0.000000445
2025-03-17 09:46:00,0.17,7303914.4421,0.000000450
2025-03-17 09:47:00,0.17,7289074.1716,0.000000450
2025-03-17 09:48:00,0.17,6403784.6323,0.000000452
2025-03-17 09:49:00,0.17,6781184.5443,0.000000453
2025-03-17 09:50:00,0.17,7151998.4057,0.000000452
2025-03-17 09:51:00,0.17,7152232.6834,0.000000450
2025-03-17 09:52:00,0.17,6870609.6743,0.000000452
2025-03-17 09:53:00,0.17,6788222.8756,0.000000452
2025-03-17 09:54:00,0.17,6670682.9439,0.000000457
2025-03-17 09:55:00,0.17,7408618.3972,0.000000452
2025-03-17 09:56:00,0.17,7879415.6725,0.000000452
2025-03-17 09:57:00,0.17,7772848.9405,0.000000455
2025-03-17 09:58:00,0.17,7484118.9963,0.000000240
2025-03-17 09:59:00,0.17,7890042.7571,0.000000240
2025-03-17 10:00:00,0.17,8212169.2045,0.000000239
2025-03-17 10:01:00,0.17,8609236.2029,0.000000241
2025-03-17 10:02:00,0.17,8679459.1305,0.000000240
2025-03-17 10:03:00,0.17,8779213.1379,0.000000241
2025-03-17 10:04:00,0.17,8698188.6573,0.000000242
2025-03-17 10:05:00,0.17,8556243.5436,0.000000246
2025-03-17 10:06:00,0.17,8547343.5918,0.000000248
2025-03-17 10:07:00,0.17,8399458.7685,0.000000246
2025-03-17 10:08:00,0.17,8384506.2376,0.000000247
2025-03-17 10:09:00,0.17,8204245.3504,0.000000246
2025-03-17 10:10:00,0.17,7402294.6729,0.000000250
2025-03-17 10:11:00,0.17,7068087.6055,0.000000250
2025-03-17 10:12:00,0.17,7362990.8335,0.000000249
2025-03-17 10:13:00,0.17,7659508.3273,0.000000247
2025-03-17 10:14:00,0.17,7679135.4778,0.000000245
2025-03-17 10:15:00,0.17,7717737.8474,0.000000247
2025-03-17 10:16:00,0.17,7358287.4723,0.000000246
2025-03-17 10:17:00,0.17,7659002.5648,0.000000246
2025-03-17 10:18:00,0.17,7441355.7895,0.000000249
2025-03-17 10:19:00,0.17,7213814.4608,0.000000245
2025-03-17 10:20:00,0.17,7196835.6992,0.000000243
2025-03-17 10:21:00,0.17,7114282.6357,0.000000241
2025-03-17 10:22:00,0.17,7300601.5462,0.000000242
2025-03-17 10:23:00,0.17,7842115.8039,0.000000243
2025-03-17 10:24:00,0.17,7940842.9042,0.000000242
2025-03-17 10:25:00,0.17,8245360.1017,0.000000241
2025-03-17 10:26:00,0.17,8129190.2832,0.000000243
2025-03-17 10:27:00,0.17,7849705.3604,0.000000244
2025-03-17 10:28:00,0.17,7216780.2224,0.000000245
2025-03-17 10:29:00,0.17,6919098.4340,0.000000247
2025-03-17 10:30:00,0.17,6850639.1326,0.000000247
2025-03-17 10:31:00,0.17,6626988.6123,0.000000245
2025-03-17 10:32:00,0.17,6322918.1958,0.000000245
2025-03-17 10:33:00,0.17,6224349.4355,0.000000241
2025-03-17 10:34:00,0.17,6238265.4777,0.000000243
2025-03-17 10:35:00,0.17,5899045.4428,0.000000243
2025-03-17 10:36:00,0.17,5986058.4594,0.000000243
2025-03-17 10:37:00,0.17,5837925.7361,0.000000242
2025-03-17 10:38:00,0.17,5369958.7329,0.000000241
2025-03-17 10:39:00,0.17,5759043.8533,0.000000241
2025-03-17 10:40:00,0.17,5908293.6449,0.000000241
2025-03-17 10:41:00,0.17,6125215.5192,0.000000240
2025-03-17 10:42:00,0.17,6247878.3311,0.000000244
2025-03-17 10:43:00,0.17,6280606.2049,0.000000243
2025-03-17 10:44:00,0.17,6156178.7570,0.000000243
2025-03-17 10:45:00,0.17,5940512.6713,0.000000242
2025-03-17 10:46:00,0.17,6216431.4025,0.000000241
2025-03-17 10:47:00,0.17,6162856.9407,0.000000241
2025-03-17 10:48:00,0.17,6598842.1009,0.000000241
2025-03-17 10:49:00,0.17,7286058.6649,0.000000241
2025-03-17 10:50:00,0.17,7434612.7040,0.000000242
2025-03-17 10:51:00,0.17,7235337.4348,0.000000242
